"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20, 2020","3.1586","3.3415","3.3828","3.1368","5.62M","-5.47%"
"Oct 19, 2020","3.3415","3.4087","3.4951","3.2211","5.36M","-1.97%"
"Oct 18, 2020","3.4087","3.2509","3.4209","3.2397","4.36M","4.90%"
"Oct 17, 2020","3.2495","3.2510","3.3222","3.1070","4.97M","-0.05%"
"Oct 16, 2020","3.2511","3.4407","3.4885","3.2279","5.76M","-5.51%"
"Oct 15, 2020","3.4407","3.3239","3.5038","3.2203","7.03M","3.47%"
"Oct 14, 2020","3.3254","3.5138","3.5507","3.2818","6.80M","-5.36%"
"Oct 13, 2020","3.5138","3.6389","3.6622","3.4358","3.94M","-3.44%"
"Oct 12, 2020","3.6389","3.6470","3.7255","3.4898","5.79M","-0.29%"
"Oct 11, 2020","3.6494","3.6091","3.7530","3.5107","5.49M","0.94%"
"Oct 10, 2020","3.6155","3.4843","3.8675","3.4743","8.85M","3.73%"
"Oct 09, 2020","3.4854","3.3624","3.5990","3.2538","6.93M","3.66%"
"Oct 08, 2020","3.3624","3.2637","3.4692","3.0259","8.71M","3.13%"
"Oct 07, 2020","3.2605","3.3593","3.3593","3.0946","8.03M","-2.91%"
"Oct 06, 2020","3.3580","3.8073","3.8243","3.2837","9.73M","-11.76%"
"Oct 05, 2020","3.8057","3.6260","3.8855","3.6199","7.90M","4.93%"
"Oct 04, 2020","3.6270","3.7432","3.7486","3.4993","7.64M","-3.05%"
"Oct 03, 2020","3.7409","3.7713","3.8714","3.6941","7.81M","-0.44%"
"Oct 02, 2020","3.7573","3.9996","4.2434","3.5739","17.49M","-6.08%"
"Oct 01, 2020","4.0006","3.9846","4.3608","3.8260","15.46M","0.40%"
"Sep 30, 2020","3.9846","4.0556","4.1018","3.8256","9.74M","-1.69%"
"Sep 29, 2020","4.0530","3.7515","4.3818","3.7110","27.20M","8.24%"
"Sep 28, 2020","3.7445","3.0476","4.2636","3.0469","28.08M","22.88%"
"Sep 27, 2020","3.0472","3.0857","3.1108","2.9563","5.79M","-1.22%"
"Sep 26, 2020","3.0847","3.1278","3.1789","3.0240","6.88M","-1.34%"
"Sep 25, 2020","3.1267","3.0898","3.2128","2.8608","8.36M","1.20%"
"Sep 24, 2020","3.0898","2.7439","3.1389","2.7067","10.44M","12.89%"
"Sep 23, 2020","2.7370","3.2283","3.2429","2.6895","17.54M","-15.24%"
"Sep 22, 2020","3.2291","2.5394","3.2725","2.5251","9.95M","27.16%"
"Sep 21, 2020","2.5394","2.8928","2.9543","2.5133","7.66M","-12.14%"
"Sep 20, 2020","2.8901","3.0393","3.0915","2.8026","5.28M","-4.91%"
"Sep 19, 2020","3.0393","3.0074","3.1638","2.9607","5.76M","1.06%"
"Sep 18, 2020","3.0074","3.2808","3.4364","2.9322","9.57M","-8.33%"
"Sep 17, 2020","3.2808","3.0252","3.3518","2.9073","6.65M","8.45%"
"Sep 16, 2020","3.0252","3.4689","3.5619","2.9340","6.94M","-12.79%"
"Sep 15, 2020","3.4690","3.8208","3.8684","3.4466","6.80M","-9.16%"
